Name,Company_Name,Employee_Job_Title,Employee_City,Employee_Country,Employee_Salary,Employment_Status,Employee_Rating,Credits
Sandra Rollins,Marshall-Holloway,Actuary,New Cindychester,Iran,872150,Full Time,3.3,2
Gerald Miller,James and Sons,Make,New Cindychester,Christmas Island,22660,Full Time,4.3,3
Dennis Green,"White, Mcclain and Cobb",Equities trader,Wardfort,Mayotte,785000,Full Time,2.4,1
James Mann,Marshall-Holloway,Production engineer,Wardfort,Iceland,591320,Full Time,2.6,2
Lee Wilson,Taylor-Ramos,Retail merchandiser,New Russellton,Jersey,1000,Full Time,4.1,4
Steven Navarro,Andrade LLC,Patent examiner,West Jamesview,Gibraltar,636960,Intern,3.6,1
William Sanders,"Baker, Allen and Edwards",Equities trader,New Russellton,Saint Pierre and Miquelon,45550,Full Time,0.5,1
Kathleen Oneill,James and Sons,Armed forces logistics/support/administrative officer,Ricardomouth,Nicaragua,834840,Full Time,0.1,2
Matthew Collins,"White, Mcclain and Cobb",Diplomatic Services operational officer,Aliciafort,Guam,617860,Full Time,1.3,5
Ryan Romero,"Baker, Allen and Edwards",Administrator,Aliciafort,Mauritania,125540,Intern,2.5,2
Thomas Smith,Scott Inc,Garment/textile technologist,Whiteside,Haiti,979230,Full Time,2.3,3
Marissa Frazier,James and Sons,Production engineer,Kristaburgh,Grenada,102360,Full Time,3.2,1
Megan Arellano,Taylor-Ramos,Make,Ricardomouth,Timor-Leste,627840,Intern,4.5,5
Sophia Cook,"Wallace, Smith and Shepard",Optometrist,Wardfort,Panama,269810,Full Time,3.6,4
Courtney Richardson,"Baker, Allen and Edwards",Garment/textile technologist,New Cindychester,Niger,181000,Full Time,4.8,4
Michael Payne,"Johnston, Fleming and Tanner",Administrator,New Cindychester,Barbados,992010,Full Time,2.2,4
Brittney Payne,"Johnston, Fleming and Tanner",Ergonomist,West Jamesview,Iraq,602160,Full Time,1.6,5
Linda Huber,"Baker, Allen and Edwards",Production engineer,Whiteside,Gambia,197420,Full Time,1.2,4
Melissa Williams,"Campos, Reynolds and Mccormick",Diplomatic Services operational officer,Wardfort,Falkland Islands (Malvinas),693180,Full Time,3.3,4
Timothy Richardson,"White, Mcclain and Cobb",Optometrist,West Jamesview,Mauritius,866760,Full Time,1.2,3
Robert Bryan,Andrade LLC,Trading standards officer,North Melissafurt,French Polynesia,711470,Full Time,1.4,5
Dennis Robinson,James and Sons,Regulatory affairs officer,New Russellton,Iceland,784610,Full Time,4.3,5
Darius Schwartz,James and Sons,Make,Whiteside,Kiribati,611210,Full Time,2.8,1
John Morgan,Scott Inc,"Investment banker, corporate",North Melissafurt,Mongolia,500349,Full Time,2.1,1
Michelle Bennett,Nelson-Li,Regulatory affairs officer,North Melissafurt,Italy,111360,Full Time,1.9,2
Pamela Mendoza,Marshall-Holloway,Optometrist,New Cindychester,Kyrgyz Republic,924620,Intern,2.8,4
Natasha Jackson,"Wallace, Smith and Shepard",Diplomatic Services operational officer,Wardfort,Saint Lucia,299330,Full Time,3.0,3
Bailey Luna,James and Sons,"Investment banker, corporate",New Russellton,American Samoa,402590,Full Time,2.3,1
Roy Clark,"Campos, Reynolds and Mccormick",Optometrist,New Russellton,Martinique,695620,Full Time,1.8,5
Lori Johnson,"Campos, Reynolds and Mccormick","Radiographer, therapeutic",West Jamesview,Israel,215480,Full Time,2.9,5
Michelle Hayes,Matthews Inc,Administrator,Aliciafort,Nicaragua,598220,Full Time,3.6,2
Patty Jones,Bullock-Carrillo,Make,Whitakerbury,Honduras,685240,Full Time,1.3,4
Angela Jenkins,Scott Inc,Production engineer,Wardfort,Romania,514710,Intern,0.5,4
Erik Maynard,Scott Inc,Equities trader,New Russellton,Cuba,30920,Full Time,3.6,1
Loretta Orozco,"Wallace, Smith and Shepard",Trading standards officer,New Cindychester,Grenada,370330,Intern,2.3,3
Benjamin Vaughn,Taylor-Ramos,Administrator,Wardfort,Pitcairn Islands,626480,Full Time,4.0,2
Robert Lee,"Johnston, Fleming and Tanner",Make,New Cindychester,Palau,450720,Full Time,3.3,5
Jon Moore,Nelson-Li,Patent examiner,Ricardomouth,Norway,763240,Full Time,0.3,2
Rebecca Arnold,Nichols-James,Trading standards officer,Kristaburgh,Hungary,534010,Full Time,0.0,5
Charles Mcdaniel,"Johnston, Fleming and Tanner",Actuary,Aliciafort,Ukraine,170280,Intern,1.8,2
James Conley,Bullock-Carrillo,"Investment banker, corporate",New Russellton,Holy See (Vatican City State),612980,Full Time,0.1,4
Paul Humphrey,Taylor-Ramos,Make,Aliciafort,Svalbard & Jan Mayen Islands,554680,Full Time,5.0,2
Kendra Stewart,"White, Mcclain and Cobb","Radiographer, therapeutic",Wardfort,Guinea,836220,Full Time,3.9,1
Katie Jones,Taylor-Ramos,Sales promotion account executive,Aliciafort,Wallis and Futuna,718340,Intern,1.5,3
Ashlee Day,Taylor-Ramos,Diplomatic Services operational officer,Whitakerbury,Belgium,182620,Full Time,4.9,1
Laura Myers,Thomas-Spencer,Trading standards officer,New Russellton,American Samoa,790850,Intern,1.4,3
Jennifer Adams,Bullock-Carrillo,Sales promotion account executive,Ricardomouth,Grenada,709420,Full Time,2.3,1
Kristen York,Thomas-Spencer,Diplomatic Services operational officer,Whitakerbury,Cameroon,407790,Intern,0.5,1
Matthew Mitchell,"Wallace, Smith and Shepard",Garment/textile technologist,Whitakerbury,Tunisia,499770,Full Time,0.6,5
Teresa Wright,Scott Inc,"Investment banker, corporate",Wardfort,Ecuador,602350,Full Time,4.9,4
Christopher Smith,"Baker, Allen and Edwards",Equities trader,New Russellton,Denmark,406290,Full Time,0.7,3
Carmen Brooks,"Baker, Allen and Edwards",Patent examiner,Aliciafort,Antarctica (the territory South of 60 deg S),234530,Intern,2.6,1
Kathryn Carpenter,"Wallace, Smith and Shepard",Sales promotion account executive,Wardfort,Morocco,312230,Full Time,3.5,5
Melissa Rios,Bullock-Carrillo,Production engineer,North Melissafurt,Nepal,754310,Full Time,1.9,2
Scott Powell,Scott Inc,Administrator,Ricardomouth,Palau,938630,Intern,4.7,3
Rachel Campos,"Johnston, Fleming and Tanner",Sales promotion account executive,New Cindychester,San Marino,725370,Full Time,1.6,1
Andrew Ramos,Matthews Inc,Regulatory affairs officer,West Jamesview,Luxembourg,757720,Full Time,1.9,5
Tyler Lopez,"Wallace, Smith and Shepard",Trading standards officer,New Cindychester,Korea,165950,Intern,1.5,4
Ryan Hill,James and Sons,Naval architect,New Cindychester,Burkina Faso,235370,Intern,2.8,1
Karen Petty,Nichols-James,Patent examiner,Ricardomouth,Chile,211190,Full Time,3.9,5
Sharon Graves,James and Sons,Trading standards officer,Ricardomouth,Iraq,295070,Full Time,2.2,1
Roger Harris,"Wallace, Smith and Shepard",Actuary,Kristaburgh,French Polynesia,470630,Full Time,0.8,1
Nathan Reynolds,Taylor-Ramos,"Investment banker, corporate",New Russellton,United States Virgin Islands,91990,Full Time,4.1,4
George Daniels,Matthews Inc,Sales promotion account executive,North Melissafurt,Myanmar,524320,Full Time,2.9,4
Jessica Vasquez,"Wallace, Smith and Shepard",Diplomatic Services operational officer,Whiteside,Uruguay,243090,Intern,3.5,5
Justin Turner,Thomas-Spencer,Optometrist,Aliciafort,Iceland,436190,Full Time,3.9,2
Diana Guzman,Scott Inc,Regulatory affairs officer,New Cindychester,Barbados,473840,Full Time,1.0,3
Bianca Butler,Nichols-James,Garment/textile technologist,Whitakerbury,Niger,355620,Intern,3.2,4
Laura Wheeler,Taylor-Ramos,Diplomatic Services operational officer,Kristaburgh,Cuba,147150,Full Time,0.6,4
Brandon Bennett,"Wallace, Smith and Shepard",Regulatory affairs officer,West Jamesview,Guinea-Bissau,175310,Intern,2.3,4
Brandon Choi,Andrade LLC,Sales promotion account executive,Wardfort,Sweden,173650,Full Time,0.6,4
Sherri Tucker,Matthews Inc,Actuary,New Russellton,Saint Barthelemy,371360,Intern,0.8,5
Courtney Moore,Taylor-Ramos,Ergonomist,New Russellton,Zambia,388390,Full Time,1.9,3
Joshua Ware,Marshall-Holloway,Sales promotion account executive,New Russellton,Bahamas,43860,Intern,0.3,1
Elizabeth Brewer,Andrade LLC,Energy manager,Wardfort,Sri Lanka,775100,Full Time,0.9,4
Joseph Hunt,"Wallace, Smith and Shepard",Armed forces logistics/support/administrative officer,Aliciafort,Equatorial Guinea,923610,Intern,2.6,1
Ashley Thomas,Taylor-Ramos,Production engineer,Aliciafort,Guinea,722900,Intern,2.7,3
Robert Davis,"Baker, Allen and Edwards",Equities trader,Aliciafort,Samoa,891520,Full Time,2.3,5
Lisa Bass,James and Sons,Diplomatic Services operational officer,Whitakerbury,Tuvalu,251510,Full Time,1.7,4
Kenneth Day,Andrade LLC,Garment/textile technologist,West Jamesview,Svalbard & Jan Mayen Islands,546160,Intern,4.5,4
Christina Scott,"Johnston, Fleming and Tanner",Energy manager,Whitakerbury,Qatar,340160,Intern,4.1,4
Michelle Manning,Scott Inc,Make,West Jamesview,Saint Lucia,514279,Full Time,2.9,2
Brandon Williams,Andrade LLC,Garment/textile technologist,Whitakerbury,Bahrain,125010,Full Time,3.1,3
Jonathan Perez,"White, Mcclain and Cobb",Diplomatic Services operational officer,Whiteside,Somalia,554410,Full Time,2.0,5
Rachel Gibson,"Campos, Reynolds and Mccormick",Sales promotion account executive,Aliciafort,Bolivia,72920,Intern,3.1,5
Matthew Williams,"White, Mcclain and Cobb",Equities trader,Ricardomouth,Burkina Faso,959940,Full Time,4.7,1
Brenda Villarreal,"Wallace, Smith and Shepard",Garment/textile technologist,Whiteside,France,496180,Full Time,1.3,5
Joshua Williams,Bullock-Carrillo,Trading standards officer,Whiteside,Sri Lanka,405680,Full Time,0.7,4
Cathy Scott,Nelson-Li,Naval architect,Whitakerbury,Djibouti,912230,Full Time,3.4,4
Amanda Smith,"Johnston, Fleming and Tanner",Retail merchandiser,Whiteside,Serbia,248030,Full Time,1.1,4
Shannon Patrick,"White, Mcclain and Cobb",Garment/textile technologist,Ricardomouth,Kiribati,658310,Full Time,1.8,1
Sharon Wallace,Bullock-Carrillo,Naval architect,New Cindychester,Bangladesh,200060,Full Time,0.6,4
Kristin Knight,"Baker, Allen and Edwards",Armed forces logistics/support/administrative officer,Wardfort,Saint Barthelemy,151750,Intern,2.1,2
Tammy Wheeler,"Baker, Allen and Edwards",Regulatory affairs officer,West Jamesview,South Georgia and the South Sandwich Islands,330570,Intern,4.8,4
Todd Lyons,Bullock-Carrillo,Diplomatic Services operational officer,Wardfort,Saint Martin,551840,Full Time,0.1,5
Suzanne White,"Johnston, Fleming and Tanner",Ergonomist,Aliciafort,Mauritania,133990,Full Time,1.9,1
Charles Garrett,Scott Inc,Trading standards officer,Whiteside,Philippines,560190,Intern,2.1,3
Diane Taylor,Nichols-James,Patent examiner,Whiteside,Libyan Arab Jamahiriya,268430,Full Time,2.9,1
Brandon Frye,"Campos, Reynolds and Mccormick",Diplomatic Services operational officer,West Jamesview,Palestinian Territory,52370,Full Time,2.9,5
David King,Marshall-Holloway,Patent examiner,Aliciafort,Isle of Man,365720,Full Time,1.1,2
Cheryl Patel,James and Sons,Administrator,New Cindychester,Mali,949760,Full Time,2.7,4
Kyle Neal,Taylor-Ramos,Naval architect,New Russellton,Kenya,740050,Intern,0.6,4
Tanya Cross,James and Sons,Actuary,Ricardomouth,Botswana,274600,Full Time,2.3,4
Vickie Weeks,Thomas-Spencer,"Radiographer, therapeutic",Kristaburgh,Bahamas,798200,Full Time,2.7,5
Jill Smith,Thomas-Spencer,Regulatory affairs officer,West Jamesview,Montenegro,421710,Full Time,1.4,4
Thomas Oneill,"White, Mcclain and Cobb",Patent examiner,Wardfort,Germany,194880,Intern,0.6,1
Ethan Kerr,Taylor-Ramos,Production engineer,Aliciafort,Tuvalu,638390,Full Time,2.6,5
Jean Rocha,"White, Mcclain and Cobb",Naval architect,Aliciafort,France,496630,Full Time,2.2,1
Jeremy Schultz,"Wallace, Smith and Shepard",Equities trader,Wardfort,Uzbekistan,908320,Full Time,3.0,3
Denise Berry,"White, Mcclain and Cobb",Patent examiner,Wardfort,Turks and Caicos Islands,61990,Full Time,3.0,5
Ashley Gutierrez,Scott Inc,Energy manager,New Cindychester,Kazakhstan,883310,Full Time,3.5,2
Diane Macdonald,Thomas-Spencer,Naval architect,New Russellton,Singapore,476430,Full Time,4.7,1
Sarah Hill,Nelson-Li,Naval architect,New Cindychester,Australia,732780,Full Time,0.1,1
Mark Tucker,Andrade LLC,Diplomatic Services operational officer,Ricardomouth,Tokelau,31590,Full Time,1.4,4
Susan Murray,Thomas-Spencer,Armed forces logistics/support/administrative officer,Ricardomouth,Iraq,594770,Full Time,1.3,1
Linda Barber,"Baker, Allen and Edwards",Ergonomist,Kristaburgh,Venezuela,216570,Intern,2.4,5
Jennifer Rodriguez,"Baker, Allen and Edwards",Naval architect,North Melissafurt,Bolivia,458220,Full Time,4.8,2
Dawn Kennedy,"Baker, Allen and Edwards",Optometrist,Kristaburgh,Moldova,619360,Intern,3.4,5
Patricia Stewart,Scott Inc,Retail merchandiser,Kristaburgh,Ethiopia,731690,Full Time,0.6,5
Tina Wright,Scott Inc,Administrator,New Cindychester,Oman,97470,Intern,1.6,5
Danny Washington,Taylor-Ramos,Diplomatic Services operational officer,Kristaburgh,Barbados,925520,Full Time,3.8,3
Reginald Mendez,Nichols-James,Naval architect,Wardfort,Burkina Faso,453220,Intern,2.8,3
John Johnson,Bullock-Carrillo,Patent examiner,Whitakerbury,Spain,944870,Full Time,3.8,1
Rhonda Nelson,Scott Inc,Ergonomist,New Cindychester,Liechtenstein,610970,Full Time,2.0,5
Kristy Richardson,Scott Inc,Energy manager,West Jamesview,Eritrea,560580,Full Time,2.7,3
Katie Watson,"Wallace, Smith and Shepard",Garment/textile technologist,Wardfort,Nauru,445860,Full Time,2.4,2
Anna Thomas,"White, Mcclain and Cobb",Equities trader,West Jamesview,Niger,286820,Intern,4.1,3
Tony Decker,"Campos, Reynolds and Mccormick",Energy manager,Whiteside,Argentina,299650,Full Time,4.1,1
Kelly Brown,"Johnston, Fleming and Tanner",Make,Kristaburgh,Haiti,170340,Full Time,3.1,5
Joel Howard,Nelson-Li,Trading standards officer,New Russellton,Seychelles,224630,Full Time,3.4,1
Jeremiah Rivera,Scott Inc,Actuary,Whitakerbury,Macao,192060,Full Time,2.3,2
Christopher Le,Taylor-Ramos,Equities trader,North Melissafurt,Djibouti,647170,Full Time,1.4,1
Alexandra Rios,"White, Mcclain and Cobb",Armed forces logistics/support/administrative officer,Wardfort,Solomon Islands,366590,Full Time,4.1,2
Melissa Thomas,Andrade LLC,Equities trader,Kristaburgh,Malta,384430,Full Time,2.4,5
Rebecca Tran,Nichols-James,Diplomatic Services operational officer,Whiteside,Saint Barthelemy,246340,Full Time,0.8,3
Kaitlin Tucker,Matthews Inc,Naval architect,North Melissafurt,Saint Lucia,650330,Intern,2.3,2
Joshua Thompson,"Johnston, Fleming and Tanner",Naval architect,New Cindychester,Guinea,867920,Full Time,3.1,3
Stacy Castillo,Nichols-James,Regulatory affairs officer,New Cindychester,Australia,631860,Full Time,1.1,5
Stephanie Shelton,"Wallace, Smith and Shepard",Actuary,West Jamesview,Kuwait,296250,Intern,4.4,4
Olivia Olson,Scott Inc,Diplomatic Services operational officer,Wardfort,Pakistan,356670,Full Time,3.1,2
Breanna Green,Nelson-Li,Actuary,Ricardomouth,United Arab Emirates,680880,Intern,1.5,1
Mark Chandler,Andrade LLC,Production engineer,Whitakerbury,British Indian Ocean Territory (Chagos Archipelago),277830,Intern,2.6,2
Stephanie Glass,"Johnston, Fleming and Tanner",Diplomatic Services operational officer,West Jamesview,Barbados,752560,Full Time,1.4,5
Jose Harris,Matthews Inc,"Radiographer, therapeutic",Whitakerbury,Saint Vincent and the Grenadines,12460,Full Time,4.1,3
Maria Bauer,Nichols-James,Ergonomist,Ricardomouth,Jersey,194300,Full Time,4.1,2
Timothy Dominguez,Bullock-Carrillo,Optometrist,Aliciafort,Ukraine,25950,Intern,4.3,2
Jerry Velazquez,Andrade LLC,Armed forces logistics/support/administrative officer,Ricardomouth,Uzbekistan,276970,Full Time,1.8,2
Katherine Hoffman,Taylor-Ramos,Garment/textile technologist,Wardfort,Chad,478290,Full Time,4.4,4
Daniel Lee,"Campos, Reynolds and Mccormick",Patent examiner,New Russellton,Nauru,742540,Full Time,2.6,4
Shawn Reyes,Taylor-Ramos,Trading standards officer,Whiteside,Mauritius,743900,Full Time,0.2,5
Tiffany Stewart,Nichols-James,Armed forces logistics/support/administrative officer,West Jamesview,Honduras,280900,Intern,3.2,3
Harold Obrien,Thomas-Spencer,Naval architect,Kristaburgh,Guinea-Bissau,25550,Full Time,3.4,2
Matthew Huynh,Scott Inc,Actuary,North Melissafurt,Kuwait,311500,Full Time,3.7,5
Jessica Williams,Marshall-Holloway,Equities trader,Whiteside,Chile,901980,Full Time,3.3,5
Jessica King,"Campos, Reynolds and Mccormick",Optometrist,Aliciafort,Peru,155640,Full Time,4.4,2
Christine Holmes,"Wallace, Smith and Shepard",Administrator,Whiteside,Turkey,634910,Intern,2.1,4
Jared Brown,"Baker, Allen and Edwards",Diplomatic Services operational officer,Whiteside,Vietnam,847580,Full Time,3.3,1
Thomas Mullen,Andrade LLC,Make,West Jamesview,Niue,414550,Full Time,3.3,1
Michael Reynolds,Taylor-Ramos,Diplomatic Services operational officer,Ricardomouth,India,90600,Intern,0.4,2
Mary Phelps,Nelson-Li,Diplomatic Services operational officer,New Russellton,Netherlands,656230,Full Time,1.5,4
Erin Horton,Bullock-Carrillo,"Investment banker, corporate",Aliciafort,Chile,122420,Full Time,4.7,5
Amy Gutierrez,Marshall-Holloway,Armed forces logistics/support/administrative officer,West Jamesview,Hong Kong,408990,Full Time,2.9,5
Andrew Dougherty,"White, Mcclain and Cobb",Garment/textile technologist,New Russellton,South Georgia and the South Sandwich Islands,644450,Full Time,0.6,4
Anthony Davis,Marshall-Holloway,Naval architect,West Jamesview,Panama,756070,Full Time,3.7,4
Theresa Simpson,Nelson-Li,Equities trader,Whitakerbury,Lebanon,172980,Full Time,0.6,4
William Smith,Taylor-Ramos,"Radiographer, therapeutic",Wardfort,Tokelau,843860,Full Time,2.6,3
Kelly Young,Thomas-Spencer,Retail merchandiser,Kristaburgh,Bermuda,135010,Intern,1.9,4
Robert Davis,Scott Inc,Production engineer,New Russellton,Lebanon,957750,Full Time,3.8,1
Donald Shea,Marshall-Holloway,Energy manager,Whiteside,Guernsey,523479,Full Time,4.2,5
Karen Ware,"Wallace, Smith and Shepard",Patent examiner,Aliciafort,Slovakia (Slovak Republic),432840,Full Time,4.2,5
Russell Holloway,Thomas-Spencer,Diplomatic Services operational officer,Ricardomouth,Syrian Arab Republic,427200,Full Time,2.5,5
Lisa Castro,Andrade LLC,Energy manager,West Jamesview,Czech Republic,102920,Full Time,4.5,2
Robert Reed,Andrade LLC,Sales promotion account executive,West Jamesview,British Virgin Islands,317450,Full Time,4.2,2
Jose Butler,Thomas-Spencer,Administrator,Whiteside,Western Sahara,786660,Full Time,1.1,4
Brendan Ramos,"Campos, Reynolds and Mccormick",Equities trader,New Cindychester,Algeria,524540,Full Time,3.5,5
Julie Williams,"Campos, Reynolds and Mccormick",Ergonomist,West Jamesview,Guinea,263410,Full Time,1.1,5
Eric Brown,"Johnston, Fleming and Tanner",Administrator,Aliciafort,Taiwan,403740,Full Time,0.6,5
Heather Phillips,"Campos, Reynolds and Mccormick",Sales promotion account executive,Wardfort,Falkland Islands (Malvinas),721820,Full Time,0.7,5
Deborah Herrera,"Campos, Reynolds and Mccormick",Retail merchandiser,Wardfort,Guyana,668190,Full Time,3.1,4
Sylvia Fernandez,Thomas-Spencer,Optometrist,Ricardomouth,Guinea-Bissau,622160,Full Time,2.5,3
David Salazar,Scott Inc,Retail merchandiser,Kristaburgh,American Samoa,823320,Full Time,4.3,4
Sean Perez,Scott Inc,Sales promotion account executive,New Russellton,Mali,989040,Full Time,1.2,2
Gregory Williams,Matthews Inc,Retail merchandiser,New Cindychester,Ecuador,53980,Full Time,0.4,3
Thomas Santiago,"White, Mcclain and Cobb",Patent examiner,West Jamesview,Tonga,836200,Full Time,4.8,5
Patty Jones,Marshall-Holloway,Patent examiner,New Cindychester,Canada,395360,Full Time,4.8,2
Michael Chavez,Taylor-Ramos,Actuary,Kristaburgh,Montenegro,276030,Full Time,3.2,1
Grant Cabrera,Matthews Inc,Diplomatic Services operational officer,Kristaburgh,Northern Mariana Islands,637920,Intern,3.8,5
Martin Cortez,"Baker, Allen and Edwards",Ergonomist,North Melissafurt,Malaysia,920780,Intern,0.3,2
Rebecca Williams,"Baker, Allen and Edwards",Administrator,Wardfort,San Marino,325720,Full Time,3.5,5
Justin Jones,Marshall-Holloway,Equities trader,North Melissafurt,Italy,478220,Full Time,1.7,3
Lisa Brown,Nelson-Li,Patent examiner,New Russellton,Argentina,29170,Full Time,4.5,1
Donald Ellison,James and Sons,Actuary,Kristaburgh,Botswana,907040,Full Time,1.8,4
Samantha Randolph,"White, Mcclain and Cobb",Production engineer,New Cindychester,Moldova,308040,Full Time,2.0,3
Linda Pollard,Scott Inc,Armed forces logistics/support/administrative officer,Kristaburgh,Rwanda,786740,Intern,2.9,4
Alexander Wallace,"Campos, Reynolds and Mccormick",Garment/textile technologist,West Jamesview,American Samoa,248170,Full Time,1.0,5
Jennifer Cruz,"Baker, Allen and Edwards",Armed forces logistics/support/administrative officer,North Melissafurt,Heard Island and McDonald Islands,654320,Full Time,4.2,2
Jessica King,Marshall-Holloway,Patent examiner,New Russellton,Saint Martin,657760,Full Time,0.4,2
Tracie Wilson,"Wallace, Smith and Shepard",Diplomatic Services operational officer,Kristaburgh,Djibouti,712310,Full Time,0.6,5
Anthony Bond,Taylor-Ramos,Patent examiner,West Jamesview,Gambia,822530,Intern,4.6,2
Jason Ferguson,"Johnston, Fleming and Tanner",Trading standards officer,Whiteside,Mongolia,329860,Full Time,4.3,2
Michael Clark,James and Sons,Regulatory affairs officer,Ricardomouth,Western Sahara,751950,Full Time,3.2,1
Vanessa Pena,Taylor-Ramos,Diplomatic Services operational officer,Whiteside,Libyan Arab Jamahiriya,507360,Full Time,5.0,2
Vanessa Howe,"Johnston, Fleming and Tanner",Sales promotion account executive,West Jamesview,Luxembourg,441500,Full Time,0.6,4
Connor Blackwell,"Johnston, Fleming and Tanner",Naval architect,Ricardomouth,Botswana,633660,Full Time,4.3,4
Austin Smith,Marshall-Holloway,Administrator,New Russellton,Thailand,334520,Intern,1.6,3
Wendy Cervantes,Bullock-Carrillo,Diplomatic Services operational officer,Whiteside,Zambia,137340,Full Time,0.5,4
Jodi Hodges,"Baker, Allen and Edwards","Radiographer, therapeutic",New Russellton,Northern Mariana Islands,923810,Full Time,4.8,5
Marcus Johnson,Thomas-Spencer,Naval architect,Aliciafort,Togo,290900,Full Time,4.3,4
Shannon Anderson,Nelson-Li,Energy manager,New Cindychester,Dominica,272990,Intern,4.8,4
Peggy Hamilton,Bullock-Carrillo,Naval architect,Kristaburgh,Gabon,566270,Full Time,3.1,5
Andrea Moreno,"Johnston, Fleming and Tanner",Naval architect,North Melissafurt,Kenya,710980,Full Time,2.3,5
Rhonda Anderson,Taylor-Ramos,Patent examiner,West Jamesview,United States Virgin Islands,121030,Full Time,0.2,5
Shawna Johnson,James and Sons,Diplomatic Services operational officer,New Cindychester,Vanuatu,26250,Full Time,1.4,1
Marie Andrews,Nichols-James,"Radiographer, therapeutic",New Russellton,Puerto Rico,805990,Full Time,1.1,1
James Barnes,Marshall-Holloway,Ergonomist,Wardfort,Senegal,874970,Full Time,4.7,2
Courtney Chandler,"Campos, Reynolds and Mccormick",Make,Whitakerbury,Mongolia,411320,Intern,0.5,3
Adam Cruz,Andrade LLC,Make,Aliciafort,Latvia,403390,Full Time,4.4,3
Travis Baker,"Baker, Allen and Edwards",Diplomatic Services operational officer,Aliciafort,Serbia,577660,Full Time,3.0,3
Maria Hanna,Thomas-Spencer,Equities trader,New Russellton,Micronesia,370740,Full Time,1.0,2
Joe Briggs,Marshall-Holloway,"Investment banker, corporate",Whiteside,Spain,773020,Full Time,4.9,1
Tiffany Bowers,Scott Inc,"Radiographer, therapeutic",Aliciafort,Lesotho,998560,Full Time,4.6,5
Sarah Smith,Marshall-Holloway,"Investment banker, corporate",Kristaburgh,Chile,512599,Full Time,2.7,5
David Johnson,James and Sons,Armed forces logistics/support/administrative officer,New Russellton,Croatia,625950,Full Time,4.1,3
Brittany Stone,"Campos, Reynolds and Mccormick",Garment/textile technologist,Aliciafort,Korea,902040,Full Time,2.4,3
Jeremiah Walker,"Baker, Allen and Edwards",Retail merchandiser,Ricardomouth,Bangladesh,456600,Full Time,0.5,4
Claudia Palmer,James and Sons,Regulatory affairs officer,Whitakerbury,Yemen,396100,Intern,0.8,1
Anthony Arias,Matthews Inc,Patent examiner,New Cindychester,Norfolk Island,318660,Full Time,4.8,2
Amy Wolf,Bullock-Carrillo,Sales promotion account executive,West Jamesview,Bolivia,192260,Full Time,0.3,4
Brian Huang,Nelson-Li,Diplomatic Services operational officer,Aliciafort,Turkmenistan,780600,Full Time,2.2,5
Tanner Palmer,"Campos, Reynolds and Mccormick",Regulatory affairs officer,New Cindychester,Tuvalu,243890,Full Time,3.6,3
Deborah Munoz,Nelson-Li,Energy manager,Kristaburgh,Sao Tome and Principe,685340,Full Time,2.7,1
Kayla Chapman,"Johnston, Fleming and Tanner",Trading standards officer,New Russellton,Suriname,113770,Full Time,3.9,3
Zachary Curtis,"Wallace, Smith and Shepard",Trading standards officer,Wardfort,Isle of Man,12000,Intern,4.7,2
Kenneth Miller,James and Sons,Armed forces logistics/support/administrative officer,New Cindychester,Bouvet Island (Bouvetoya),210310,Full Time,1.6,5
Monica Schwartz,"Baker, Allen and Edwards",Diplomatic Services operational officer,Kristaburgh,Reunion,739530,Full Time,4.0,5
Kenneth Wu,"Johnston, Fleming and Tanner",Retail merchandiser,Ricardomouth,Russian Federation,416750,Full Time,3.8,1
Scott Rush,Thomas-Spencer,Ergonomist,Ricardomouth,Lao People's Democratic Republic,299380,Full Time,4.2,5
Andrew Rush,Marshall-Holloway,Garment/textile technologist,New Cindychester,Sudan,386380,Full Time,3.4,3
Juan Simpson,Bullock-Carrillo,Energy manager,New Cindychester,Czech Republic,812770,Intern,1.4,4
John Franklin,"Wallace, Smith and Shepard",Actuary,Wardfort,Lebanon,148560,Full Time,2.7,4
John Lewis,Bullock-Carrillo,"Radiographer, therapeutic",West Jamesview,Honduras,573550,Full Time,3.9,4
Timothy Graves,Bullock-Carrillo,Naval architect,Kristaburgh,Armenia,953490,Full Time,1.4,3
Holly Perkins,Andrade LLC,Naval architect,Wardfort,Azerbaijan,137610,Full Time,3.2,2
Karen Morales,Nelson-Li,Retail merchandiser,Aliciafort,Saint Lucia,189450,Full Time,2.5,3
Alan Hess,Nelson-Li,Trading standards officer,Kristaburgh,Kyrgyz Republic,960630,Full Time,1.1,1
David Edwards,James and Sons,Diplomatic Services operational officer,New Russellton,Iraq,756180,Full Time,0.7,3
Debra Weber,Thomas-Spencer,Energy manager,Whitakerbury,Bulgaria,897590,Full Time,4.8,5
Elizabeth Stuart,"Johnston, Fleming and Tanner",Patent examiner,New Cindychester,United States Virgin Islands,464560,Intern,1.6,1
Carl Hogan,Andrade LLC,Diplomatic Services operational officer,North Melissafurt,Hong Kong,941600,Full Time,2.2,4
Emily Barnes,"Johnston, Fleming and Tanner",Equities trader,Whitakerbury,Argentina,391180,Full Time,0.8,4
Amy Simpson,"Campos, Reynolds and Mccormick",Naval architect,West Jamesview,Brunei Darussalam,814940,Intern,4.7,2
Erica Sanchez,"Johnston, Fleming and Tanner",Optometrist,West Jamesview,Russian Federation,296700,Full Time,3.8,3
